College Name,Stream,District,Location,State,Fees per Year (\u20B9),Placement %,Rank,Accreditation,Courses Offered (comma-separated)
Hindustan College of Arts & Science - Admission Office,Arts and Science,Chennai,https://www.google.com/maps/place/Hindustan+College+of+Arts+%26+Science+-+Admission+Office/data=!4m7!3m6!1s0x3a525ddb6cec9cd7:0x7592f5d651b28dd!8m2!3d12.9863405!4d80.2545569!16s%2Fg%2F11ghp11g13!19sChIJ15zsbNtdUjoR3SgbZV0vWQc?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Prince Shri Venkateshwara Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Prince+Shri+Venkateshwara+Arts+and+Science+College/data=!4m7!3m6!1s0x3a525f81753f2df1:0x82a588db40fdcde1!8m2!3d12.9203769!4d80.1632838!16s%2Fg%2F1vg_b8s6!19sChIJ8S0_dYFfUjoR4c39QNuIpYI?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sriram College of Arts and Science,Arts and Science,Chennai,https://www.google.com/maps/place/Sriram+College+of+Arts+and+Science/data=!4m7!3m6!1s0x3a528f20b2b9593b:0x8bbab9767c0c7307!8m2!3d13.1177894!4d79.9918755!16s%2Fm%2F0j436pt!19sChIJO1m5siCPUjoRB3MMfHa5uos?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
New Prince Shri Bhavani Arts and Science College,Arts and Science,Chennai,https://www.google.com/maps/place/New+Prince+Shri+Bhavani+Arts+and+Science+College/data=!4m7!3m6!1s0x3a525ea082b6a2a7:0x11dd9d62b1547a6b!8m2!3d12.9159678!4d80.1872172!16s%2Fg%2F11b7q314z_!19sChIJp6K2gqBeUjoRa3pUsWKd3RE?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
ST.ANNE'S ARTS AND SCIENCE COLLEGE,Arts and Science,Chennai,https://www.google.com/maps/place/ST.ANNE%27S+ARTS+AND+SCIENCE+COLLEGE/data=!4m7!3m6!1s0x3a5264e33bdd98f9:0xb1c459f855dedb93!8m2!3d13.133562!4d80.2334989!16s%2Fg%2F11b67h9942!19sChIJ-ZjdO-NkUjoRk9veVfhZxLE?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sri Muthukumaran Arts And Science College,Arts and Science,Chennai,https://www.google.com/maps/place/Sri+Muthukumaran+Arts+And+Science+College/data=!4m7!3m6!1s0x3a5260312f08e22d:0x1e9fa6877f81e2b9!8m2!3d13.0153857!4d80.1077317!16s%2Fg%2F11_ss5_9h!19sChIJLeIILzFgUjoRueKBf4emnx4?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
"Government Arts And Science College, R.K.Nagar",Arts and Science,Chennai,"https://www.google.com/maps/place/Government+Arts+And+Science+College,+R.K.Nagar/data=!4m7!3m6!1s0x3a526f9b0edfa8d7:0x2ef9e1c01abcc418!8m2!3d13.1365145!4d80.2890866!16s%2Fg%2F11f15mszds!19sChIJ16jfDptvUjoRGMS8GsDh-S4?authuser=0&hl=en&rclk=1",Tamil Nadu,,,,,
The New College,Arts and Science,Chennai,https://www.google.com/maps/place/The+New+College/data=!4m7!3m6!1s0x3a52663bfa1ace61:0x60bb479a340ce102!8m2!3d13.0541684!4d80.2590183!16s%2Fm%2F0265cf8!19sChIJYc4a-jtmUjoRAuEMNJpHu2A?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Queen Mary's College,Arts and Science,Chennai,https://www.google.com/maps/place/Queen+Mary%27s+College/data=!4m7!3m6!1s0x3a5268825dbac3bd:0x62feed11d07377e0!8m2!3d13.0445189!4d80.2790355!16s%2Fm%2F0hn9pd8!19sChIJvcO6XYJoUjoR4Hdz0BHt_mI?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
Sindhi College,Arts and Science,Chennai,https://www.google.com/maps/place/Sindhi+College/data=!4m7!3m6!1s0x3a5266767de16df5:0xca93fbb987682027!8m2!3d13.060118!4d80.1305169!16s%2Fg%2F1tgh1ddd!19sChIJ9W3hfXZmUjoRJyBoh7n7k8o?authuser=0&hl=en&rclk=1,Tamil Nadu,,,,,
