Scholarship Name,Provider,Amount,Eligibility ,Application Link
"Vidyadhan Class 11 and 12 Scholarship Program, Delhi 2025",Government of Punjab,"₹10,000 per annum",Class 10 passed students,https://www.buddy4study.com/scholarship/vidyadhan-class-eleven-and-twelve-scholarship-program-delhi
"Vidyadhan Class 11 and 12 Scholarship Program, Haryana & Chandigarh 2025",Sarojini Damodaran Foundation,"₹10,000 per annum",Class 11 and 12 students,https://www.buddy4study.com/scholarship/vidyadhan-class-11-and-12-scholarship-program-haryana-and-chandigarh
"NSP Pre-Matric Scholarship for SC Students (Class 6 to 10), Puducherry 2025-26",Sarojini Damodaran Foundation,Up to ₹250 per month for 10 months in year,SC students in Class 6 to 10,https://www.buddy4study.com/page/puducherry-scholarships
Punjab Waqf Board Scholarships 2025,Government of Puducherry,"Monthly scholarships of up to ₹6,000",Muslim students of Punjab,https://www.buddy4study.com/scholarship/punjab-waqf-board-scholarships-2025
"NSP Financial Assistance For Education To The Wards Of Beedi/Cine/Iomc/Lsdm, Post-Matric 2025-26",Punjab Waqf Board,"Up to ₹25,000 per annum","Class 11, 12, diploma, UG and PG degree students",https://www.buddy4study.com/scholarship/nsp-financial-assistance-for-education-of-the-wards-of-beedi-cine-iomc-lsdm-workers-post-matric
"NSP Financial Assistance For Education To The Wards Of Beedi/Cine/Iomc/Lsdm, Pre-Matric 2025-26","Ministry of Labour & Employment, Government of India","A financial assistance of up to ₹2,000 per annum",Wards of Beedi/Cine/IOMC/LSDM workers,https://www.buddy4study.com/scholarship/nsp-financial-assistance-for-education-to-the-wards-of-beedi-cine-Iomc-lsdmprematric
"PM YASASVI Central Sector Scheme of Top Class Education in Schools for OBC, EBC and DNT Students 2025-26","Ministry of Labour & Employment, Government of India","A scholarship up to ₹1,25,000 per annum",Students studying in Class 9 to 12,https://www.buddy4study.com/scholarship/pm-yasasvi-central-sector-scheme-of-top-class-education-in-schools-for-obc-ebc-and-dnt-students-2025
"NSP Centrally Sponsored Scheme Of Post-Matric Scholarship For SC Students, Puducherry 2025-26","Ministry of Social Justice and Empowerment, Government of India","Academic allowance up to ₹13,500 and other benefits",SC students in Class 11 and above,https://www.buddy4study.com/page/puducherry-scholarships
"Vidyadhan Plus 1 Scholarship Program, Meghalaya 2025",Government of Puducherry,"A maximum of ₹10,000 per annum",Class 11 and 12 school students of Meghalaya,https://www.buddy4study.com/scholarship/vidyadhan-plus-1-scholarship-program-meghalaya
INSPIRE Awards MANAK Scheme 2025-26,Sarojini Damodaran Foundation,"A one-time award of ₹10,000",Students enrolled in Classes 6 to 10,https://www.buddy4study.com/scholarship/inspire-awards-manak-scheme-2025
